name,qubits,samples,basis_gate,clliford
qft,7,16,0.03537178174303584,0.06521551186310649
qft,7,16,0.03536716969120214,0.044919518486326165
qft,7,64,0.05757372845109389,0.15872579253133218
qft,7,64,0.05771660565394392,0.23552295750302832
qft,7,256,0.12049420869774012,0.9234853740318809
qft,7,256,0.12008002558494135,0.9787324096112483
qft,7,1024,0.22501019004456194,0.9966488135128944
qft,7,1024,0.22049321523251653,0.9963633929796041
qft,7,4096,0.421130908939538,0.9395977103637262
qft,7,4096,0.4329811927619301,0.9479494812072452
