algo,samples,accuracy
xeb,2,0.011788727457185023
xeb,2,0.017829177045194655
xeb,2,0.03290623554016399
xeb,2,0.014121917523697392
xeb,2,0.01077708294210992
xeb,2,0.022651126106002804
xeb,2,0.016596692530858954
xeb,2,0.037261818716547185
xeb,2,0.07278205276473751
xeb,2,0.028286774496963263
xeb,2,0.037261818716547185
xeb,2,0.012758479932793375
xeb,2,0.024143922582466663
xeb,2,0.03534777328995281
xeb,2,0.038557686436296416
xeb,2,0.004507493485111985
xeb,2,0.002286784504143587
xeb,2,0.024143922582466663
xeb,2,0.013947402189505917
xeb,2,0.09612596749286371
xeb,2,0.013947402189505917
xeb,2,0.02154608006100009
xeb,2,0.022651126106002804
xeb,2,0.019770407762088597
xeb,2,0.037261818716547185
xeb,2,0.01077708294210992
xeb,2,0.005952713418206933
xeb,2,0.02383103457567524
xeb,2,0.0240818707785981
xeb,2,0.013947402189505917
xeb,2,0.012758479932793375
xeb,2,0.015428448496069192
xeb,2,0.011788727457185023
xeb,2,0.029183821746383263
xeb,2,0.024973666011869622
xeb,2,0.02383103457567524
xeb,2,0.03225236494488835
xeb,2,0.08929579404699325
xeb,2,0.09612596749286371
xeb,2,0.004292770055446656
xeb,2,0.005952713418206933
xeb,2,0.027156719853343878
xeb,2,0.04389062637837142
xeb,2,0.00610261150142758
xeb,2,0.02383103457567524
xeb,2,0.012758479932793375
xeb,2,0.029916006484826892
xeb,2,0.09612596749286371
xeb,2,0.08929579404699325
xeb,2,0.0240818707785981
xeb,2,0.07278205276473751
xeb,2,0.014121917523697392
xeb,2,0.012758479932793375
xeb,2,0.026755662967668653
xeb,2,0.037261818716547185
xeb,2,0.00610261150142758
xeb,2,0.02583683716480789
xeb,2,0.029916006484826892
xeb,2,0.049220980825087905
xeb,2,0.022651126106002804
xeb,2,0.00610261150142758
xeb,2,0.02583683716480789
xeb,2,0.00610261150142758
xeb,2,0.03534777328995281
xeb,2,0.017829177045194655
xeb,2,0.027156719853343878
xeb,2,0.004507493485111985
xeb,2,0.0240818707785981
xeb,2,0.007634089278779654
xeb,2,0.002286784504143587
xeb,2,0.024973666011869622
xeb,2,0.015428448496069192
xeb,2,0.00994344959630491
xeb,2,0.019770407762088597
xeb,2,0.00877108675905731
xeb,2,0.09612596749286371
xeb,2,0.00877108675905731
xeb,2,0.013947402189505917
xeb,2,0.028286774496963263
xeb,2,0.024143922582466663
xeb,2,0.03225236494488835
xeb,2,0.029916006484826892
xeb,2,0.03225236494488835
xeb,2,0.038557686436296416
xeb,2,0.014121917523697392
xeb,2,0.011788727457185023
xeb,2,0.08929579404699325
xeb,2,0.012615716258436613
xeb,2,0.03290623554016399
xeb,2,0.02583683716480789
xeb,2,0.05588759274856696
xeb,2,0.024143922582466663
xeb,2,0.038557686436296416
xeb,2,0.037261818716547185
xeb,2,0.0397025314913217
xeb,2,0.004507493485111985
xeb,2,0.012615716258436613
xeb,2,0.07278205276473751
xeb,2,0.03465428641478911
xeb,2,0.037261818716547185
xeb,2,0.03465428641478911
xeb,2,0.07278205276473751
xeb,2,0.02583683716480789
xeb,2,0.03465428641478911
xeb,2,0.007634089278779654
xeb,2,0.01077708294210992
xeb,2,0.015428448496069192
xeb,2,0.012615716258436613
xeb,2,0.016596692530858954
xeb,2,0.026755662967668653
xeb,2,0.004507493485111985
xeb,2,0.012758479932793375
xeb,2,0.03225236494488835
xeb,2,0.09612596749286371
xeb,2,0.043870730566568615
xeb,2,0.00877108675905731
xeb,2,0.028286774496963263
xeb,2,0.0397025314913217
xeb,2,0.022651126106002804
xeb,2,0.043870730566568615
xeb,2,0.024973666011869622
xeb,2,0.004292770055446656
xeb,2,0.03290623554016399
xeb,2,0.016991120454130666
xeb,2,0.022651126106002804
xeb,2,0.02154608006100009
xeb,2,0.011788727457185023
xeb,2,0.025167336347756572
xeb,2,0.00994344959630491
xeb,2,0.019770407762088597
xeb,2,0.012758479932793375
xeb,2,0.038557686436296416
xeb,2,0.00994344959630491
xeb,2,0.09612596749286371
xeb,2,0.03290623554016399
xeb,2,0.03465428641478911
xeb,2,0.02154608006100009
xeb,2,0.011788727457185023
xeb,2,0.00877108675905731
xeb,2,0.043870730566568615
xeb,2,0.03465428641478911
xeb,2,0.0397025314913217
xeb,2,0.0397025314913217
xeb,2,0.03465428641478911
xeb,2,0.022651126106002804
xeb,2,0.02583683716480789
xeb,2,0.020518022282367987
xeb,2,0.007634089278779654
xeb,2,0.026755662967668653
xeb,2,0.024973666011869622
xeb,2,0.07278205276473751
xeb,2,0.024143922582466663
xeb,2,0.016596692530858954
xeb,2,0.03225236494488835
xeb,2,0.004292770055446656
xeb,2,0.022651126106002804
xeb,2,0.002286784504143587
xeb,2,0.013947402189505917
xeb,2,0.002286784504143587
xeb,2,0.00877108675905731
xeb,2,0.04389062637837142
xeb,2,0.08929579404699325
xeb,2,0.03465428641478911
xeb,2,0.016596692530858954
xeb,2,0.012615716258436613
xeb,2,0.012615716258436613
xeb,2,0.0240818707785981
xeb,2,0.013947402189505917
xeb,2,0.02154608006100009
xeb,2,0.016991120454130666
xeb,2,0.012615716258436613
xeb,2,0.024143922582466663
xeb,2,0.004507493485111985
xeb,2,0.00877108675905731
xeb,2,0.08929579404699325
xeb,2,0.025167336347756572
xeb,2,0.038557686436296416
xeb,2,0.012758479932793375
xeb,2,0.03465428641478911
xeb,2,0.024973666011869622
xeb,2,0.005952713418206933
xeb,2,0.038557686436296416
xeb,2,0.004507493485111985
xeb,2,0.019770407762088597
xeb,2,0.005952713418206933
xeb,2,0.0240818707785981
xeb,2,0.003064050582812414
xeb,2,0.04389062637837142
xeb,2,0.029916006484826892
xeb,2,0.015428448496069192
xeb,2,0.016596692530858954
xeb,2,0.02154608006100009
xeb,2,0.013947402189505917
xeb,2,0.08929579404699325
xeb,2,0.011788727457185023
xeb,2,0.03465428641478911
xeb,2,0.004292770055446656
xeb,2,0.022651126106002804
xeb,2,0.03290623554016399
xeb,2,0.011788727457185023
qnn,2,0.006100645973774543
qnn,2,0.016337719966951582
qnn,2,0.033028551457551736
qnn,2,0.02337152473952151
qnn,2,0.027527294364641578
qnn,2,0.04998761117330821
qnn,2,0.07581503367340926
qnn,2,0.02744608049101268
qnn,2,0.023845248773777642
qnn,2,0.016742248622874926
qnn,2,0.006100645973774543
qnn,2,0.005650112541172607
qnn,2,0.01143936863145211
qnn,2,0.0507302516509625
qnn,2,0.023775627068399675
qnn,2,0.02154536899312834
qnn,2,0.016742248622874926
qnn,2,0.003966541485319846
qnn,2,0.01143936863145211
qnn,2,0.016742248622874926
qnn,2,0.016337719966951582
qnn,2,0.052289975086851216
qnn,2,0.02661936083773172
qnn,2,0.007284303297059724
qnn,2,0.0026391852839613415
qnn,2,0.016742248622874926
qnn,2,0.0187383781435818
qnn,2,0.02154536899312834
qnn,2,0.003966541485319846
qnn,2,0.033028551457551736
qnn,2,0.030487693160105776
qnn,2,0.009881931226964194
qnn,2,0.010616212363961335
qnn,2,0.023775627068399675
qnn,2,0.006100645973774543
qnn,2,0.016337719966951582
qnn,2,0.052289975086851216
qnn,2,0.033028551457551736
qnn,2,0.04977626523501983
qnn,2,0.02194147074627135
qnn,2,0.02741452228448429
qnn,2,0.007438860590274593
qnn,2,0.04977626523501983
qnn,2,0.05187355353340924
qnn,2,0.0401382709917596
qnn,2,0.01047256090076823
qnn,2,0.0507302516509625
qnn,2,0.02942544696777175
qnn,2,0.02194147074627135
qnn,2,0.018155374490605416
qnn,2,0.01143936863145211
qnn,2,0.023845248773777642
qnn,2,0.04998761117330821
qnn,2,0.04583828123320138
qnn,2,0.007284303297059724
qnn,2,0.02741452228448429
qnn,2,0.01143936863145211
qnn,2,0.012912927519550426
qnn,2,0.07581503367340926
qnn,2,0.016742248622874926
qnn,2,0.07581503367340926
qnn,2,0.02789398609837413
qnn,2,0.003966541485319846
qnn,2,0.004687190955637234
qnn,2,0.007438860590274593
qnn,2,0.01143936863145211
qnn,2,0.0507302516509625
qnn,2,0.002082757526385261
qnn,2,0.025250641676502966
qnn,2,0.1118143069645708
qnn,2,0.02154536899312834
qnn,2,0.003966541485319846
qnn,2,0.01143936863145211
qnn,2,0.01047256090076823
qnn,2,0.02744608049101268
qnn,2,0.010616212363961335
qnn,2,0.1118143069645708
qnn,2,0.02185187558970309
qnn,2,0.023845248773777642
qnn,2,0.02154536899312834
